瓦达西瓦又又又桑只爱这巧克力,3 星,就标准的《黑社会》加《无间道》好么。。几乎都能找出来对应的角色了。。山寨成这样你给人家版权费了没啊。。给4星及以上的去看港片好么！这么一比我hk电影简直就是东方巨制啊。。。听说米国还买了版权。。米国佬是傻逼咩？花不起钱买最佳拍档和银河两家的版权吗？主题配乐很好听。
A L E X,4 星,韩国颜最正黑帮老大的诞生！好喜欢丁青…我要哭一哭
Sinlias、 ღ,5 星,噢巴思密达！！！！！！那个女的！我就知道是霜花店的！！！这部片子真是过段时间就拿出来看一看完全看不腻啊，每个人都演的好棒！
恶魔奶爸Sam,5 星,最后还是华侨统一了南棒黑社会，中国人最狠啊。。。
姨妈的鸭,5 星,怎么办，，，，我觉得他比吴彦祖都帅
花轮君,5 星,李政宰演得太他妈好了。
aQuabLus,4 星,前面再紧凑会更好。后面很黑。主演表演加分。
玄辂,5 星,想对姜科长说 做人要厚道 做警察尤其要厚道 不信抬头看 黑道自有真情在 BGM怒赞
shininglove,3 星,棒国人终究是酒心糟瓤，讨香港黑帮片经吃不到一半，落一碗戾气。他们学不会唯美与浪漫，粗鲁的对吼，残忍的复仇，源自骨子里的自卑，一代又一代的“怕”与“恨”。
mOco,4 星,故事很有张力，影像呈现也非常成熟，“丁青当着李子成处决卧底、丁青被刺杀、李子成即位”这三场戏格外精彩。但最重要的是丁青和李子成的爱，满满地要溢出来。为了你，我不惜牺牲自己；为了你，我不惜成为你。如果这都不是爱，那还是啥。太喜欢丁青……
文白,4 星,我喜欢这个结局，管他什么正义不正义，全干掉再说！
干小部,5 星,继承了港片黄金年代的价值观
L.A.B 小姐,4 星,韩版＂无间道＂，卧底策反成为黑帮老大，杀死白道的剧情好新鲜，另外最后的回忆杀真是亮点
陆支羽,4 星,3.5。1.一个新世界的美丽与丑陋。2.棒子玩黑帮的野心，果然深谙港日之长，全片难得的史诗气象，将一个时代末世纪的孤独与狂欢悉数收纳；即便瑕疵很多，依然诚意满满。3.结尾的暴力冷幽默处理很赞。4.李政宰、崔岷植等几个主角都很帅。
海淀妇女柴斯卡,5 星,好看 一起扛过枪 一起嫖过娼 今生有你 无悔今生 对这种设定完全没有抵抗力 劳力士 爱马仕 雅科仕 男模团走秀从头到尾 看到西装男群殴我就血脉喷张 黄政民简直是伟大的表演艺术家  仓库前后那几段戏绝了 集合了黑帮片影迷们经常意淫的高配山寨镜头 感谢导演把它们都拍出来了
Obtson,5 星,杂糅《无间道》与《极恶非道》的宿命论，又兼具《教父》的审判意味。惊叹李政宰的表演，那种木偶对牵线者的疯狂反噬，成为影片绝对的高光时刻。一直被簇拥着走的人生突然跳出棋盘，伴随着的却是彻骨的寒意，这是新世界的阵痛，也是情义与人性的丧钟。
凌睿,4 星,不要逼我，再逼我我玩真的了！
周男神的迷妹YL,4 星,因为智孝去看的电影，是部典型的男人戏，延续了韩国电影的暴力和黑政府传统，剧情紧凑有张力，结局出人意料又情理之中。卧底当久了也可以从警察变成一方黑帮老大。很带感。
包袱,3 星,原来是部爱情片，最后那段回忆直接升级多加一分
湖上的兰斯洛,1 星,难以想象本片的导演居然仅仅是拍过一部长片的人，完成度之高令人咋舌。更不容易的是，在《无间道》极其同类港片把卧底题材拍烂之后，还能有韩国编剧从中找出新意，其工业水准实在是高到令人可怕。
玛丽莲·孟获,3 星,韩国不管是警方还是黑帮，都不知道配个碎纸机吗？
papi,4 星,韩国电影这两年做的是真，不，错！崔岷植好喜欢~~~
内陆飞鱼,3 星,还缺点说服力，前面拖沓，后面仓促，崔岷植的形象不够鲜活。
囧叔,allstar20 rating,啥玩意啊这么多高分真是醉了，只要是韩国片就要跪舔是吗
Doublebitch,5 星,近两年最好看的黑帮片，完胜极恶非道2，配乐太牛逼！
蓝霉沉皮,4 星,权利就像一身黑色高级定制西装，性感不已。黄正民不能再爷们儿，朴圣雄不能再黑暗。
局长,5 星,相当精彩，韩国貌似很少有如此规模的黑帮片。
