昵称,星数,点赞数,评价,评价时间,
桃桃淘电影,allstar40 rating,11077,1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年,2010/9/1 22:04,
大宸,allstar50 rating,8384,卡梅隆负责革新电影技术，诺兰负责革新电影结构...,2010/7/31 22:49,
山风如月,allstar50 rating,33210,大概广电局也不知道该从哪里剪,2010/9/1 10:06,
Mr。King,allstar50 rating,6570,一部电影好看到即使你明白它在故弄玄虚也是义无反顾的打五星。,2010/7/15 21:54,
陈允然,allstar50 rating,3832,我的陀螺停不下来了。,2010/7/17 13:34,
seren,allstar50 rating,2761,一直在牛逼，从未被超越。只有Nolan才能达到这种境界！！！,2010/7/16 20:48,
影志,allstar50 rating,2494,“既然做梦，就做大点” 这句太深得人心了。——2010年最天才的电影。“谁又能说，现实不是梦境。” Do you remember how you got here?,2010/8/26 17:31,
。,allstar50 rating,2040,这电影看完就开始怀疑人生了，类似的还有《蝴蝶效应》《骇客帝国》《心慌方》《无姓之人》《攻壳机动队》《楚门的世界》等等……其实我突然觉得这一类题材影片的鼻祖明明就是动画片《魔方大厦》啊，郑渊洁威武。,2010/9/2 0:04,
kingkongofkhan,allstar50 rating,1749,前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。,2010/8/1 8:27,
暹罗copen,allstar50 rating,1233,Nolan给了我们一场无法盗取的梦。,2010/7/16 15:41,
TORO VAN DARKO,allstar50 rating,1045,《奠基》是一部复杂精致并绝对精彩好看的电影，他让你在片尾字幕出现时完全反应不过来之前的两个半小时发生了什么，就像一场梦境一样让你匪夷所思却又流连忘返。,2010/7/17 5:37,
Villalon,allstar50 rating,981,我还能说什么呢 出影院第一件事就是拿iphone 上豆瓣 至少5颗星啊 第156个评分的 哈哈哈哈 一直要用心用脑看的电影 内容很严谨 逻辑性强 非常好看 等高人仔细分析。。 又去影院 看了一遍 很爽 很抖擞,2010/7/16 21:45,
flowerowl,allstar50 rating,763,Christopher Nolan是天才!,2010/7/17 14:44,
un oso,allstar50 rating,687,列奥纳多干完这票肯定是要去Shutter Island修养一阵了。,2010/7/17 16:53,
法海爷爷,allstar50 rating,677,诺兰+莱昂纳多的电影，我无话可说！,2010/6/25 10:04,
艾小柯,allstar50 rating,481,迷离失所，戏假情真！,2010/7/19 7:31,
苇间疯,allstar40 rating,549,确实挺好看。人人都在评论这片，我也评不出个鸟来了。因为《盗梦空间》这片，中国人民已经陷入了智商无限的癫狂幻想之中。人人都觉得自己的解释最牛逼，人人都觉得自己是哲学家，是心理学家，是数学家，是诺兰的知己。,2010/9/4 12:18,
鼬,allstar30 rating,454,就那么一个创意，被大家吹得玄而又玄。片中充斥着毫无意义的枪战。看的过程中惟一的惊喜就是CCTV了。,2010/9/1 14:52,
longer,allstar40 rating,352,概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……,2010/7/12 17:27,
PROMISE921,allstar30 rating,349,一点也没有悬疑 剧情一般 结尾十分老套 ,2010/8/15 17:42,
Sgt. Pepper,allstar50 rating,421,永远别用回忆来建构你的梦境,2010/7/19 5:14,
张小北,allstar50 rating,281,诺兰后期的几部电影都犹如教科书般精确和经典。本片尤其如此，在所有的电影元素上都极其精准……故事层面也做到了商业和艺术的完美平衡。是我个人2010年的年度电影。,2010/8/26 22:26,
阿喵,allstar50 rating,246,有人说诺兰克死了金敏……,2010/9/1 2:43,
不爱?,allstar50 rating,254,本片可用于测智商,2010/7/19 7:56,
咱说,allstar50 rating,199,【上海博纳银兴】【UME双安】心理学导论观摩教学片，植入了以下心理学概念：平衡觉、视错觉、记忆、梦境、认知空间、潜意识、防御、情绪、动机、强化、心理咨询。上个月在后海边，同学突然问：“怎么证明现实是真实存在的？”我答：“证明不了。”——这就是本片的缘起，它在试图证明。,2010/9/2 0:59,
木卫二,allstar50 rating,199,窗口上，玛丽昂对莱昂纳多说，我跳！你也跳！结尾和片中的一些配乐，演唱者就是皮亚芙……,2010/8/23 0:37,
司大龄,allstar50 rating,209,……开放式结局……看到最后全影院一起喊：come on！,2010/7/18 0:37,
漩公子,allstar30 rating,193,今敏大人啊~~您的点子被电影化，感觉好像科教片……,2010/9/2 2:59,
布·迪安,allstar30 rating,180,没感觉多好看，你们接着炒吧,2010/9/2 9:26,
ParasItE,allstar50 rating,187,MLGB诺兰你熊的！这TMD就是我想要拍的电影！！！,2010/7/18 7:54,
Molly Zheng,allstar40 rating,191,你们终于知道我每天晚上做这种梦有多累了吧,2010/8/1 11:47,
古尔齐亚,allstar30 rating,148,这故事也忒烂了,2010/8/30 23:04,
